1572566400000,0.00258110,0.00267500,0.00255220,0.00259320,48308176.00000000,1572652799999,124717.20674070,1051,24951607.00000000,64561.09584800,0
1572652800000,0.00259940,0.00261140,0.00254630,0.00257730,136199748.00000000,1572739199999,350689.02069890,1623,78567136.00000000,202405.23348170,0
1572739200000,0.00259660,0.00263690,0.00254270,0.00258610,94348909.00000000,1572825599999,242668.84483010,1684,48795040.00000000,125648.06679300,0
1572825600000,0.00258030,0.00260000,0.00253800,0.00257510,89131455.00000000,1572911999999,229169.35694590,1509,35659217.00000000,91565.63543390,0
1572912000000,0.00257510,0.00260450,0.00255010,0.00259270,89896615.00000000,1572998399999,232074.10594400,1408,43030737.00000000,111152.06593210,0
1572998400000,0.00258810,0.00261000,0.00255000,0.00259520,78525806.00000000,1573084799999,203331.17116640,1246,44387668.00000000,115093.56590260,0
1573084800000,0.00259420,0.00274490,0.00256940,0.00269820,389579342.00000000,1573171199999,1036428.74454750,4923,193095515.00000000,513862.75664310,0
1573171200000,0.00270400,0.00270960,0.00253500,0.00263810,140343464.00000000,1573257599999,369370.72421370,2342,74409167.00000000,195842.24301890,0
1573257600000,0.00264420,0.00273510,0.00260790,0.00271260,355378242.00000000,1573343999999,952818.47907960,4385,209633710.00000000,563235.65807840,0
1573344000000,0.00270780,0.00278490,0.00266470,0.00275650,305203814.00000000,1573430399999,832966.02259980,3994,181860959.00000000,496395.97049460,0
1573430400000,0.00276530,0.00276870,0.00264600,0.00270500,145629942.00000000,1573516799999,392033.94687690,2111,88333183.00000000,237874.38481960,0
1573516800000,0.00270420,0.00272440,0.00264560,0.00270780,116799812.00000000,1573603199999,315123.37439820,1946,81283184.00000000,219691.16568430,0
1573603200000,0.00270780,0.00270780,0.00263160,0.00268210,140516822.00000000,1573689599999,374483.91628790,1735,79228683.00000000,211207.46907830,0
1573689600000,0.00267510,0.00268620,0.00259910,0.00266200,99444648.00000000,1573775999999,263406.63242990,1271,65594335.00000000,174066.45534100,0
1573776000000,0.00266500,0.00271000,0.00257670,0.00265800,196496664.00000000,1573862399999,518197.38722710,2630,104953111.00000000,277505.10192130,0
1573862400000,0.00265040,0.00270000,0.00261640,0.00266060,184465713.00000000,1573948799999,487015.19830860,1694,105085882.00000000,277551.01104470,0
1573948800000,0.00265170,0.00266190,0.00258930,0.00262580,81768446.00000000,1574035199999,214911.49535110,2029,37051167.00000000,97484.65614320,0
1574035200000,0.00261590,0.00262990,0.00250020,0.00253950,72203979.00000000,1574121599999,184812.43871320,1361,35892322.00000000,91990.36745490,0
1574121600000,0.00253510,0.00253810,0.00248830,0.00251650,60867796.00000000,1574207999999,152878.52077490,1082,30342346.00000000,76223.07265600,0
1574208000000,0.00252060,0.00259000,0.00250650,0.00252250,51326120.00000000,1574294399999,129835.19235740,929,28095699.00000000,71119.68821300,0
1574294400000,0.00252090,0.00253020,0.00230000,0.00240630,139844659.00000000,1574380799999,338044.36201590,2384,73153388.00000000,177083.86154670,0
1574380800000,0.00240590,0.00244260,0.00217330,0.00235240,165526781.00000000,1574467199999,381962.22100900,2959,85272043.00000000,197006.57318590,0
1574467200000,0.00235280,0.00240000,0.00226120,0.00239940,172491867.00000000,1574553599999,404092.18912810,2226,88120560.00000000,204546.72822630,0
1574553600000,0.00238920,0.00238920,0.00223230,0.00223300,116673800.00000000,1574639999999,268427.13440490,2037,57022563.00000000,131083.27196030,0
1574640000000,0.00223680,0.00232060,0.00208100,0.00225390,150700812.00000000,1574726399999,331627.60408530,2489,74694518.00000000,164819.79277030,0
1574726400000,0.00224740,0.00231280,0.00222670,0.00226630,46658505.00000000,1574812799999,105199.07605220,962,25271979.00000000,56973.19948940,0
1574812800000,0.00226630,0.00236000,0.00218660,0.00232080,98287760.00000000,1574899199999,224926.86548700,1829,60589567.00000000,138862.10766350,0
1574899200000,0.00231530,0.00236000,0.00226140,0.00227200,98429449.00000000,1574985599999,227564.26697800,1370,49694451.00000000,115032.34948220,0
1574985600000,0.00227350,0.00237330,0.00227220,0.00235930,98438924.00000000,1575071999999,228861.47075330,1704,59957327.00000000,139436.53139130,0
1575072000000,0.00235930,0.00236070,0.00227110,0.00229180,59323424.00000000,1575158399999,137880.77163940,1208,31052197.00000000,72149.04246590,0
