1609459200000,0.21953000,0.25000000,0.21600000,0.23746000,1490489727.40000000,1609545599999,351730366.62146100,652631,757643334.40000000,178883309.52725100,0
1609545600000,0.23740000,0.23823000,0.21084000,0.22064000,1134029208.30000000,1609631999999,256890338.07794800,457387,554254939.30000000,125566214.94607600,0
1609632000000,0.22064000,0.23852000,0.21500000,0.22540000,1178158964.40000000,1609718399999,263559996.33446400,476694,592251558.50000000,132569812.46135200,0
1609718400000,0.22540000,0.26091000,0.21800000,0.23565000,1518296110.40000000,1609804799999,355687350.48036100,641712,757732126.10000000,177685964.79188200,0
1609804800000,0.23568000,0.24269000,0.21774000,0.22573000,1184439077.10000000,1609891199999,271653748.91271100,453045,575995253.10000000,132163077.28236400,0
1609891200000,0.22577000,0.27450000,0.22139000,0.24854000,1776262975.40000000,1609977599999,429156673.64999200,702825,906783717.40000000,219288921.98883800,0
1609977600000,0.24856000,0.37000000,0.24530000,0.32389000,3863585524.30000000,1610063999999,1218860817.91237800,1803983,1959112879.90000000,617878768.30069200,0
1610064000000,0.32389000,0.34670000,0.28487000,0.32032000,2029015562.50000000,1610150399999,642118744.30782600,892278,1008791829.50000000,319549251.68801400,0
1610150400000,0.32049000,0.33950000,0.30523000,0.32419000,1177910308.90000000,1610236799999,378279817.30675900,536896,583696256.00000000,187554326.95554800,0
1610236800000,0.32419000,0.36800000,0.28708000,0.31491000,1717325406.40000000,1610323199999,567099789.19481500,795387,850129329.50000000,281043372.48952400,0
1610323200000,0.31487000,0.31627000,0.25343000,0.28743000,1963655151.80000000,1610409599999,549762215.52220300,873816,961796440.30000000,269336256.55788800,0
1610409600000,0.28742000,0.31003000,0.27743000,0.29254000,1100343591.00000000,1610495999999,323719332.68838100,500738,546798325.70000000,160946701.93658700,0
1610496000000,0.29241000,0.31000000,0.28480000,0.30582000,764981853.90000000,1610582399999,227883371.96558300,377195,388130063.90000000,115682562.13154600,0
1610582400000,0.30570000,0.30900000,0.28334000,0.29642000,887903603.50000000,1610668799999,262513956.21671000,386477,447269366.20000000,132234525.62727200,0
1610668800000,0.29648000,0.30337000,0.26100000,0.27991000,844991903.50000000,1610755199999,240600936.03038800,364353,405119792.60000000,115502298.75068900,0
1610755200000,0.27987000,0.29666000,0.27503000,0.27924000,749907244.40000000,1610841599999,213356467.69899800,316456,380808277.90000000,108386062.66861100,0
1610841600000,0.27920000,0.28572000,0.26846000,0.27746000,543053977.80000000,1610927999999,150338386.63507500,231989,267977405.80000000,74205853.84256600,0
1610928000000,0.27741000,0.28875000,0.27144000,0.28528000,536544377.10000000,1611014399999,151122037.34263000,242097,264756298.40000000,74579307.84526700,0
1611014400000,0.28529000,0.33000000,0.28396000,0.29396000,1267033309.60000000,1611100799999,385029745.38853000,497708,628072323.90000000,190940128.80839600,0
1611100800000,0.29395000,0.31184000,0.28000000,0.29539000,850365454.50000000,1611187199999,247845672.78546700,371408,416598221.70000000,121483094.28233800,0
1611187200000,0.29553000,0.30797000,0.25992000,0.26802000,908284050.20000000,1611273599999,257641399.41868500,415134,431036567.70000000,122371375.84786400,0
1611273600000,0.26786000,0.27826000,0.24021000,0.27217000,799861140.30000000,1611359999999,212058886.99997000,329446,405020564.70000000,107506135.57526300,0
1611360000000,0.27216000,0.28356000,0.26545000,0.27167000,446546595.40000000,1611446399999,122131855.33153400,195769,222009758.70000000,60719849.81550100,0
1611446400000,0.27169000,0.27798000,0.26804000,0.27339000,353391385.90000000,1611532799999,96574389.38794800,156175,173178243.00000000,47328388.18974300,0
1611532800000,0.27335000,0.28500000,0.26679000,0.26757000,483145818.40000000,1611619199999,133188951.44869100,214800,236342447.70000000,65195938.71943900,0
1611619200000,0.26751000,0.27095000,0.25800000,0.26834000,383692292.10000000,1611705599999,101956457.83243500,169463,180460334.00000000,47961394.99673100,0
1611705600000,0.26837000,0.26871000,0.24388000,0.25039000,468085255.10000000,1611791999999,119454680.46966500,208679,220261041.30000000,56215704.78288500,0
1611792000000,0.25058000,0.27000000,0.24699000,0.26407000,496218434.00000000,1611878399999,128796097.24627500,208762,254317819.90000000,66027735.90647400,0
1611878400000,0.26413000,0.31724000,0.25915000,0.28290000,1695844598.80000000,1611964799999,482447395.07353400,725747,848696885.40000000,241602066.65521000,0
1611964800000,0.28290000,0.51780000,0.27800000,0.44372000,5872830448.00000000,1612051199999,2280599179.36687000,2525559,3000822383.00000000,1165945613.12318700,0
1612051200000,0.44369000,0.51000000,0.38500000,0.49507000,4524657686.80000000,1612137599999,2080703862.12976800,2281850,2260530504.10000000,1041373274.82161500,0
